Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
ERR4045377	250	205	82	23	2	0	1123079	1095937	753000	349383	65240	0	235	38563	1118055	1139457	52.74	52.70	6804	6731	4167	4014	49	51	101	105	1	1	7181	6	0	0	3	2 + 11 part	17842	98.397	1.005	0.00	28.13	11.87	38563	1097981	6620	6542	4014	3901	50	51	103	107
ERR4045378	117	92	59	44	12	1	1129066	1114936	1019290	912234	408339	52079	108	52079	1127172	1139457	52.74	52.70	18570	18570	12447	12379	20	20	38	39	1	1	17201	6	0	0	0	3 + 11 part	20789	99.184	1.002	0.00	5.35	10.15	52079	1105446	18564	18564	10646	10617	20	20	40	41
ERR4045379	181	149	76	40	4	0	1126991	1110000	891181	629700	116373	0	169	31683	1124351	1139457	52.74	52.70	10965	10807	5819	5624	34	35	68	70	2	2	12676	8	0	0	1	2 + 12 part	20382	98.908	1.003	0.00	26.71	11.27	31671	1103135	10530	10459	5624	5480	35	36	70	72
ERR4045380	80	60	49	36	16	3	1129121	1120755	1091003	1007569	692718	199096	68	83242	1126419	1139457	52.74	52.70	34728	34728	16306	16306	12	12	24	24	0	0	0	8	0	0	0	2 + 10 part	20339	99.228	1.002	0.00	23.37	11.05	78899	1105479	33424	30024	15675	15675	12	13	25	25
ERR4045381	112	91	65	43	13	1	1129859	1118529	1055693	894507	444844	74388	103	74388	1127877	1139457	52.74	52.70	18459	18434	11007	10855	19	20	39	40	1	1	10644	8	0	0	0	3 + 11 part	20584	99.332	1.002	0.00	23.70	11.40	70006	1107075	18459	18434	10573	10316	19	20	40	41
ERR4045382	488	341	42	5	0	0	1103465	1011664	300266	63827	0	0	448	16122	1089533	1139457	52.70	52.70	3260	3187	1997	1819	104	111	209	228	3	2	15598	3	0	0	3	5 + 11 part	17323	95.776	1.006	0.00	33.31	11.35	16122	1070152	3216	3153	1926	1741	107	114	215	236
ERR4045383	122	100	60	35	13	2	1127779	1115615	997097	818356	460442	105719	112	54065	1125042	1139457	52.75	52.70	19041	18924	9115	8846	18	19	38	39	0	0	0	9	0	0	0	2 + 11 part	20666	99.051	1.002	0.00	25.86	11.34	51654	1103812	18924	18924	8798	8425	19	19	40	41
ERR4045384	253	202	78	22	2	0	1121813	1092525	772240	367075	71252	0	234	39222	1116561	1139457	52.75	52.70	7612	7554	4115	4045	44	46	93	97	2	1	2059	3	0	0	1	1 + 14 part	18685	98.216	1.005	0.00	28.91	11.62	35416	1095815	7554	7551	4055	3963	45	46	95	100
ERR4045385	247	198	78	26	1	0	1127084	1100318	783187	403033	46648	0	226	46648	1121947	1139457	52.73	52.70	7933	7908	4156	4074	44	45	92	95	2	1	7273	3	0	0	2	1 + 14 part	17609	98.750	1.005	0.00	28.58	11.56	44007	1102190	7908	7739	4074	3857	45	46	94	97
ERR4045386	176	139	69	31	6	1	1127322	1105462	919223	654798	258499	60296	162	60296	1124039	1139457	52.72	52.70	13857	13857	6003	5970	24	24	56	58	0	0	0	4	0	0	3	2 + 14 part	21032	98.873	1.003	0.00	7.54	10.00	60296	1102493	13857	13358	6002	5901	24	25	57	59
ERR4045387	131	104	66	36	9	2	1131005	1116609	1011943	787753	361779	128557	117	75669	1127160	1139457	52.75	52.70	17191	17152	9219	9005	19	20	43	44	0	0	0	7	0	0	2	2 + 14 part	20386	99.184	1.003	0.00	5.26	10.42	75669	1105574	16500	16500	8903	8861	20	20	44	45
ERR4045388	548	354	37	5	0	0	1082230	959699	259410	60310	0	0	491	15873	1059816	1139457	53.03	52.70	3071	2842	1687	1379	108	121	226	265	1	1	1067	3	0	0	2	5 + 13 part	17479	92.941	1.008	0.00	34.52	10.44	15873	1038738	3055	2808	1629	1299	110	123	230	271
ERR4045389	163	129	76	38	4	1	1128265	1113968	964711	696031	171744	63444	141	63444	1123023	1139457	52.72	52.70	12983	12937	7492	7199	27	28	56	57	2	2	18387	8	0	0	0	3 + 11 part	18965	98.804	1.004	0.00	9.00	10.91	63444	1102262	12913	12389	7012	6795	28	29	58	59
ERR4045390	165	110	64	38	9	0	1122641	1098424	989605	806007	336580	0	134	49122	1116315	1139457	52.85	52.70	16816	16816	8959	7942	21	21	42	44	1	1	16816	10	0	0	0	2 + 12 part	19889	98.282	1.003	0.00	7.04	10.15	49122	1095538	16434	15737	7926	7576	21	22	43	46
ERR4045391	357	277	63	14	0	0	1114675	1062840	512015	179151	0	0	341	17407	1109081	1139457	52.70	52.70	4580	4558	2735	2622	72	76	152	160	2	2	7313	6	0	0	1	4 + 12 part	19640	97.458	1.005	0.00	33.29	11.34	17407	1088239	4543	4489	2636	2505	75	78	157	166
ERR4045392	151	126	76	43	8	0	1130060	1115873	978973	717723	241819	0	141	37646	1127599	1139457	52.75	52.70	11954	11755	8412	8145	29	30	57	58	0	0	0	5	0	0	1	4 + 13 part	20120	99.203	1.003	0.00	6.16	10.33	37646	1106092	11954	11755	8081	7878	29	30	58	59
ERR4045393	381	282	64	14	0	0	1112473	1049562	505692	165695	0	0	354	15786	1104049	1139457	52.73	52.70	4469	4340	2639	2431	74	78	155	166	2	2	14840	4	0	0	2	2 + 14 part	18223	97.119	1.005	0.00	28.22	11.01	15786	1084427	4357	4161	2553	2356	76	80	159	170
ERR4045394	123	99	68	45	10	0	1128537	1115183	1023435	861686	332432	0	115	44372	1126985	1139457	52.74	52.70	15946	15592	10524	10394	22	23	44	45	1	1	7094	10	0	0	0	2 + 13 part	21454	99.149	1.002	0.00	31.54	11.42	44372	1105276	15160	15160	9886	9846	23	23	45	46
ERR4045395	85	64	52	36	13	3	1128513	1122396	1084812	964351	579039	279214	68	113547	1125494	1139457	52.74	52.70	25304	25304	15968	15968	13	13	27	27	2	1	36790	10	0	0	0	1 + 11 part	19633	99.205	1.002	0.00	24.91	11.23	109741	1105709	25304	24665	13919	13508	13	14	28	29
ERR4045396	160	123	72	40	7	0	1127458	1107429	956610	736307	246064	0	144	49352	1123653	1139457	52.72	52.70	13891	13891	6800	6497	26	26	53	55	0	0	0	10	0	0	0	4 + 12 part	20126	98.901	1.003	0.00	8.09	11.09	49352	1102747	13891	13429	6789	6430	26	27	54	56
ERR4045397	131	106	72	44	9	0	1127752	1114715	1014919	817481	279286	0	117	41355	1123565	1139457	52.79	52.70	15498	15085	8892	8162	24	25	47	49	1	1	1067	11	0	0	0	1 + 11 part	19368	98.949	1.003	0.00	8.54	10.35	41355	1103244	15085	15085	8162	7897	25	25	48	50
ERR4853527	21	6	5	5	4	4	1134725	1127161	1126155	1126155	1109401	1109401	13	598786	1132960	1139457	52.75	52.70	598786	598786	175132	175132	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19908	99.844	1.002	0.00	4.41	11.07	587882	1111618	587882	587882	175000	175000	1	1	3	3
ERR4853528	22	6	5	5	4	4	1134746	1127161	1126155	1126155	1109396	1109396	13	598823	1132960	1139457	52.75	52.70	598823	598823	175159	175159	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19938	99.845	1.002	0.00	4.41	11.43	588046	1111756	588046	588046	175000	175000	1	1	3	3
ERR4853529	18	5	4	4	3	3	1134241	1127069	1126063	1126063	1109307	1109307	12	598803	1132868	1139457	52.75	52.70	598803	598803	335369	335369	1	1	2	2	0	0	0	12	0	0	0	2 + 6 part	20637	99.845	1.001	0.00	4.59	10.89	587903	1111618	587903	587903	330604	330604	1	1	2	2
ERR4853530	179	143	76	37	5	0	1129271	1108905	925884	648118	197517	0	167	47483	1126466	1139457	52.73	52.70	11326	11326	6333	6215	30	30	62	64	2	2	2284	9	0	0	1	1 + 13 part	19894	99.059	1.004	0.00	29.12	11.98	47483	1105707	11185	10995	6108	6022	30	31	64	65
ERR4853531	38	23	21	15	8	6	1129879	1122053	1116908	1071415	948598	869899	31	323449	1128176	1139457	52.75	52.70	166436	166436	50186	50186	3	3	6	6	0	0	0	11	0	0	0	2 + 11 part	20599	99.371	1.002	0.00	23.60	12.21	317109	1106903	165132	165132	50101	50101	3	3	6	6
ERR4853532	26	5	5	5	4	4	1134947	1126058	1126058	1126058	1109327	1109327	12	598858	1132045	1139457	52.75	52.70	598858	598858	175129	175129	1	1	3	3	0	0	0	10	0	0	0	1 + 6 part	19049	99.852	1.002	0.00	4.77	10.98	588119	1111825	588119	588119	175032	175032	1	1	3	3
ERR4853533	53	26	23	19	10	5	1131441	1122362	1114997	1085711	931537	784025	33	340834	1128104	1139457	52.74	52.70	146504	146504	30782	28948	3	3	7	8	0	0	0	11	0	0	0	2 + 9 part	20342	99.375	1.002	0.00	5.52	10.85	330223	1106898	146408	146408	28948	28948	3	3	8	8
ERR4853534	26	10	9	9	6	6	1134850	1127201	1126195	1126195	1067072	1067072	17	450195	1133000	1139457	52.75	52.70	151213	151213	147646	147646	2	2	4	4	0	0	0	11	0	0	0	2 + 9 part	20653	99.835	1.001	0.00	5.22	10.53	443765	1111761	151129	151129	144249	144249	2	2	4	4
ERR4853535	17	6	5	5	4	4	1133951	1126989	1125983	1125983	1109227	1109227	13	448879	1132825	1139457	52.75	52.70	335301	335301	175101	175101	2	2	3	3	0	0	0	11	0	0	0	2 + 7 part	20638	99.845	1.001	0.00	6.12	11.25	443624	1111625	330588	330588	175031	175031	2	2	3	3
ERR4853536	219	175	80	32	2	0	1121605	1094165	823995	502095	60103	0	201	34760	1115575	1139457	52.71	52.70	8870	8795	4700	4441	39	40	83	87	2	1	3056	7	0	0	1	2 + 13 part	20617	98.079	1.003	0.00	28.13	11.00	34760	1093893	8870	8795	4555	4294	39	40	84	89
ERR4853537	21	6	5	5	4	4	1134639	1127190	1126184	1126184	1109429	1109429	13	598773	1132989	1139457	52.75	52.70	598773	598773	175183	175183	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19929	99.845	1.002	0.00	5.94	11.07	587988	1111733	587988	587988	175034	175034	1	1	3	3
ERR4853538	652	382	16	2	0	0	1067917	890307	123083	22885	0	0	583	12002	1041094	1139457	52.59	52.70	2357	2101	1311	1103	136	158	287	348	2	2	11718	2	0	0	2	5 + 13 part	16346	91.587	1.006	0.00	36.80	11.58	12002	1023130	2327	2044	1281	1044	138	160	291	355
ERR4853539	344	268	64	19	0	0	1116412	1068699	552678	254344	0	0	324	20175	1109288	1139457	52.73	52.70	4943	4911	2935	2743	65	68	138	146	1	1	3131	5	0	0	3	4 + 10 part	19580	97.544	1.004	0.00	28.10	10.87	20175	1088529	4929	4910	2765	2615	66	69	141	149
ERR4853540	80	63	47	32	15	5	1129717	1122950	1076864	974458	686412	354442	69	90180	1127716	1139457	52.75	52.70	31567	31567	17784	16713	11	11	23	24	0	0	0	12	0	0	1	1 + 10 part	20380	99.328	1.002	0.00	23.89	11.67	90180	1106797	31567	30044	16124	16124	11	12	24	24
ERR4853541	24	8	7	7	5	5	1134684	1126999	1125993	1125993	1088923	1088923	15	598781	1132797	1139457	52.75	52.70	598781	598781	136722	136722	1	1	3	3	0	0	0	11	0	0	0	2 + 8 part	20655	99.831	1.001	0.00	6.39	11.34	587871	1111485	587871	587871	134754	134754	1	1	3	3
ERR4853542	270	222	67	28	3	0	1118908	1087654	682875	417446	80125	0	255	28004	1113657	1139457	52.70	52.70	6980	6782	3500	3411	46	48	104	110	1	1	835	8	0	0	0	2 + 11 part	19373	97.861	1.005	0.00	32.60	11.39	28004	1092366	6782	6526	3411	3224	47	49	107	113
ERR4853543	21	6	5	5	4	4	1134784	1127219	1126213	1126213	1109455	1109455	13	598824	1133029	1139457	52.75	52.70	598824	598824	175141	175141	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19939	99.845	1.002	0.00	4.59	10.89	588046	1111791	588046	588046	175030	175030	1	1	3	3
ERR4853544	24	6	6	6	5	4	1129443	1120980	1120980	1120980	1104248	1060847	13	598751	1126940	1139457	52.75	52.70	598751	598751	126683	126683	1	1	3	3	1	1	126683	11	0	0	0	1 + 6 part	19045	99.381	1.002	0.00	4.34	10.94	587865	1106523	587865	587865	125857	125857	1	1	3	3
ERR4853545	22	7	6	6	5	4	1134810	1127248	1126242	1126242	1109475	1073397	14	598785	1133045	1139457	52.75	52.70	598785	598785	172822	172822	1	1	3	3	0	0	0	11	0	0	0	2 + 7 part	19905	99.842	1.002	0.00	5.04	10.71	588007	1111860	588007	588007	169425	169425	1	1	3	3
ERR4853546	315	244	72	18	0	0	1119109	1073084	625201	254664	0	0	296	21326	1112404	1139457	52.70	52.70	5870	5810	3202	3122	60	62	125	131	1	1	1107	4	0	0	2	2 + 14 part	20166	97.820	1.003	0.00	31.14	11.67	21326	1091406	5818	5636	3122	3053	60	63	128	134
ERR4853547	20	7	6	6	5	5	1134476	1127198	1126192	1126192	1109426	1109426	14	448873	1132998	1139457	52.75	52.70	208811	208811	149930	149930	2	2	4	4	0	0	0	10	0	0	0	2 + 7 part	19969	99.843	1.002	0.00	5.22	10.71	443600	1111607	204745	204745	144273	144273	2	2	4	4
ERR4853548	399	239	64	19	2	0	1098752	999607	624160	300535	60603	0	352	30348	1080329	1139457	52.84	52.70	6370	5801	2400	2021	50	55	120	140	2	2	4916	7	0	0	1	3 + 13 part	18612	95.011	1.004	0.00	14.66	11.07	30348	1060082	6270	5729	2328	1938	51	56	125	146
ERR4853549	205	141	61	32	6	2	1122360	1090006	898771	690441	275280	115752	175	64814	1114891	1139457	52.79	52.70	13918	13299	6784	5968	22	23	50	53	2	2	15254	12	0	0	0	2 + 13 part	20322	98.062	1.003	0.00	11.73	10.72	64814	1093626	13175	13086	5968	5611	23	24	53	56
ERR4853550	66	37	29	23	14	8	1131156	1121113	1098088	1054911	926620	693308	44	112478	1127051	1139457	52.74	52.70	70198	70198	37524	37524	6	6	12	12	1	1	16806	11	0	0	0	2 + 11 part	20019	99.331	1.002	0.00	5.79	10.59	112478	1106644	65120	65120	35716	35716	7	7	12	12
ERR4853551	59	34	28	22	17	6	1131457	1122512	1102837	1062308	974121	552332	41	148025	1128308	1139457	52.75	52.70	46251	46251	33137	33074	7	7	13	14	0	0	0	9	0	0	0	2 + 10 part	19936	99.353	1.003	0.00	5.16	10.58	144219	1107014	46251	46251	33074	33074	7	7	14	14
ERR4853552	824	373	9	0	0	0	1021888	736846	52224	0	0	0	694	8181	968283	1139457	52.62	52.70	1657	1429	1027	752	179	235	363	509	2	2	8765	2	0	0	0	5 + 11 part	15603	85.091	1.006	0.00	36.75	10.77	7608	950882	1643	1384	988	706	183	240	372	524
ERR4853553	23	8	7	6	5	5	1134765	1127231	1126225	1118055	1101288	1101288	15	448788	1133029	1139457	52.75	52.70	200683	200683	150006	150006	2	2	4	4	0	0	0	11	0	0	0	2 + 8 part	19955	99.845	1.002	0.00	4.86	10.89	443634	1111764	197286	197286	144392	144392	2	2	4	4
ERR4853554	49	29	24	22	13	8	1129496	1120644	1107211	1094061	935968	777814	36	149879	1126631	1139457	52.75	52.70	94180	94180	35524	30648	5	5	10	11	0	0	0	10	0	0	1	1 + 11 part	20255	99.332	1.001	0.00	7.06	10.95	144267	1105873	94180	94180	30024	30024	5	5	11	11
ERR4853555	27	9	9	9	7	5	1134565	1125982	1125982	1125982	1088967	1025070	16	448814	1131969	1139457	52.75	52.70	175128	175128	144837	144837	2	2	4	4	0	0	0	10	0	0	0	1 + 9 part	19777	99.826	1.001	0.00	5.04	10.80	443567	1111545	175031	175031	141440	141440	2	2	4	4
ERR4853556	34	13	11	10	6	5	1135845	1128171	1123734	1114772	1058155	1028846	19	569620	1133073	1139457	52.75	52.70	569620	150328	146499	146499	1	2	3	3	0	0	0	9	0	0	0	2 + 8 part	20639	99.854	1.001	0.00	6.84	11.16	558812	1111889	150328	150328	145129	109049	2	2	3	4
ERR4853557	771	369	12	0	0	0	1027844	771810	76192	0	0	0	672	8606	987621	1139457	52.67	52.70	1860	1579	1130	788	168	212	341	462	3	3	7711	2	0	0	0	4 + 15 part	17382	86.569	1.007	0.00	46.51	10.90	8606	967481	1830	1546	1062	749	169	214	347	476
ERR4853558	537	342	39	4	0	0	1093569	964176	285211	44579	0	0	501	11775	1079020	1139457	52.67	52.70	2877	2760	1676	1489	107	117	226	254	2	2	10744	2	0	0	1	5 + 11 part	15575	94.929	1.007	0.00	35.31	11.17	11770	1060046	2848	2721	1656	1436	109	120	231	260
ERR4853559	51	18	13	13	10	8	1145562	1132668	1122365	1122365	1069692	981307	23	248092	1136749	1139457	52.74	52.70	126528	126528	70040	70040	4	4	7	7	0	0	0	11	0	0	1	3 + 10 part	28752	99.399	1.002	0.00	8.14	11.12	243012	1106866	125871	125871	70040	70040	4	4	7	7
ERR4853560	33	12	10	8	6	4	1130011	1121130	1113928	1103154	1065963	982201	19	598760	1127088	1139457	52.75	52.70	598760	598760	106198	106198	1	1	3	3	0	0	0	12	0	0	0	1 + 7 part	19759	99.381	1.001	0.00	3.80	10.58	587996	1106818	587996	587996	106116	106116	1	1	3	3
ERR4853561	34	13	10	8	6	5	1135018	1125987	1119998	1103232	1060160	1022986	20	448889	1131974	1139457	52.75	52.70	151243	151243	147623	147623	2	2	4	4	0	0	0	10	0	0	0	2 + 8 part	19136	99.835	1.002	0.00	5.49	10.98	443766	1111732	151199	151199	144226	144226	2	2	4	4
ERR4853562	71	43	35	28	12	6	1131295	1121958	1098830	1051750	777319	532035	50	188840	1127783	1139457	52.74	52.70	49134	49134	23748	23605	7	7	15	16	0	0	0	9	0	0	0	2 + 11 part	20522	99.330	1.002	0.00	5.43	10.68	185615	1106695	48357	48357	22091	22091	7	7	16	16
ERR4853563	124	83	59	35	14	3	1127381	1110239	1051156	870867	519510	169289	97	66550	1121201	1139457	52.77	52.70	23075	21605	11389	11001	16	17	33	34	1	1	39471	8	0	0	0	1 + 12 part	19943	98.778	1.002	0.00	7.55	10.10	66550	1100544	20873	19118	11001	10085	17	18	35	36
ERR4853564	417	238	64	24	0	0	1098412	998574	597250	339936	0	0	347	20432	1077923	1139457	52.92	52.70	5511	5234	2589	2094	53	59	122	142	0	0	0	10	0	0	0	2 + 12 part	20471	94.700	1.004	0.00	12.05	11.39	18816	1057199	5283	5011	2437	1990	56	62	129	150
ERR4853565	23	5	5	5	4	4	1134523	1125969	1125969	1125969	1109226	1109226	12	598749	1131928	1139457	52.75	52.70	598749	598749	175006	175006	1	1	3	3	0	0	0	12	0	0	0	1 + 6 part	19098	99.834	1.002	0.00	4.86	10.71	587870	1111458	587870	587870	174909	174909	1	1	3	3
ERR4853566	30	11	11	11	9	8	1129729	1121254	1121254	1121254	1085368	1049753	18	373567	1127032	1139457	52.75	52.70	126624	126624	77046	77046	3	3	6	6	0	0	0	11	0	0	0	1 + 7 part	19065	99.390	1.002	0.00	23.42	12.12	362887	1106676	125861	125861	76993	76993	3	3	6	6
ERR4853567	20	14	11	10	10	7	1122215	1118972	1111085	1105895	1105895	997097	17	299240	1121623	1139457	52.70	52.70	147480	147480	91491	91491	3	3	5	5	2	1	91491	17	0	0	0	1 + 8 part	25293	98.474	1.001	0.00	767.51	29.29	294789	1096202	143983	143983	72375	72375	3	3	6	6
ERR4853568	22	6	5	5	4	4	1133819	1126269	1125263	1125263	1109511	1109511	13	598736	1131910	1139457	52.75	52.70	598736	598736	175151	175151	1	1	3	3	1	1	728	12	0	0	0	2 + 5 part	19276	99.845	1.001	0.00	34.11	11.52	587414	1111171	587414	587414	175002	175002	1	1	3	3
ERR4853569	24	5	5	5	4	4	1133544	1124950	1124950	1124950	1109223	1109223	12	598637	1130780	1139457	52.75	52.70	598637	598637	175082	175082	1	1	3	3	1	1	704	11	0	0	0	1 + 5 part	17996	99.851	1.002	0.00	25.20	12.42	587912	1111619	587912	587912	174985	174985	1	1	3	3
ERR4853570	21	9	6	6	5	4	1133875	1128319	1125119	1125119	1108413	1072337	14	597484	1132134	1139457	52.75	52.70	597484	597484	172991	172991	1	1	3	3	1	1	597484	9	0	0	0	1 + 8 part	18966	99.842	1.002	0.00	26.82	11.61	329893	1111841	257814	257814	169606	169606	2	2	4	4
ERR4853571	24	10	9	9	8	6	1129747	1122390	1121384	1121384	1104680	1016640	17	317955	1128044	1139457	52.75	52.70	280820	280820	126731	126731	2	2	4	4	1	1	126731	11	0	0	0	2 + 9 part	20735	99.394	1.001	0.00	28.39	11.57	311606	1106689	276294	276294	82001	82001	2	2	5	5
ERR4853572	23	8	6	6	5	5	1135175	1128661	1126397	1126397	1109681	1109681	13	299625	1132673	1139457	52.75	52.70	299198	299198	175229	175229	2	2	4	4	0	0	0	11	0	0	0	1 + 7 part	20170	99.821	1.002	0.00	22.87	11.07	294649	1111082	292649	292649	175109	175109	2	2	4	4
ERR4853573	22	5	5	5	4	4	1134293	1126006	1126006	1126006	1109327	1109327	12	335520	1131795	1139457	52.75	52.70	299577	299577	299195	299195	2	2	3	3	0	0	0	13	0	0	0	1 + 7 part	20375	99.818	1.001	0.00	22.51	10.80	330789	1110976	294780	294780	292610	292610	2	2	3	3
ERR4853574	975	257	1	0	0	0	849418	399946	6104	0	0	0	749	6104	749759	1139457	52.42	52.70	1057	746	760	-	233	453	444	-	3	3	5683	2	0	0	0	2 + 8 part	11021	65.953	1.007	0.00	132.17	12.94	6104	736136	1025	715	728	-	238	465	455	-
ERR4853575	766	380	9	0	0	0	1020136	776245	62941	0	0	0	657	9594	974928	1139457	52.65	52.70	1802	1540	1101	795	165	214	338	469	2	2	3478	6	0	0	2	5 + 9 part	15138	85.723	1.006	0.00	28.20	10.48	9594	957720	1755	1506	1074	736	170	221	348	486
ERR4853576	981	320	2	0	0	0	926978	519240	13133	0	0	0	762	7060	833748	1139457	52.67	52.70	1198	910	810	-	227	374	438	-	3	3	4935	1	0	0	1	9 + 6 part	12509	73.297	1.007	0.00	42.91	10.30	7060	818419	1185	894	790	-	231	380	446	-
ERR4853577	55	37	31	23	15	6	1130178	1121276	1107839	1047264	886650	581528	45	280387	1127989	1139457	52.74	52.70	54528	54528	31013	31013	6	6	14	14	1	1	1067	10	0	0	1	2 + 11 part	20537	99.312	1.002	0.00	9.05	10.68	274913	1106762	54528	54528	30344	25550	6	6	14	15
ERR4853578	459	311	54	4	0	0	1111083	1015440	395145	58388	0	0	418	17999	1096024	1139457	52.64	52.70	3989	3750	2143	1944	89	95	183	199	2	2	2855	2	0	0	3	5 + 14 part	21571	96.051	1.005	0.00	18.06	11.04	17999	1072877	3844	3659	2004	1842	90	96	188	204
ERR4853579	40	18	16	15	13	9	1130546	1121688	1119508	1110458	1070792	924514	25	149257	1127470	1139457	52.74	52.70	110100	110100	52721	52721	5	5	8	8	1	1	126698	7	0	0	0	3 + 10 part	19778	99.301	1.002	0.00	4.07	10.41	147805	1105669	82148	82148	50861	50861	5	5	9	9
ERR4853580	60	41	32	25	14	6	1130332	1121484	1094277	1043213	855405	548052	49	160034	1127973	1139457	52.75	52.70	46770	46770	31123	31123	7	7	14	14	0	0	0	10	0	0	0	2 + 10 part	20582	99.333	1.002	0.00	5.07	10.68	154959	1106698	46675	46675	23577	23577	7	7	15	15
ERR4853581	799	67	0	0	0	0	504352	87028	0	0	0	0	499	2722	374081	1139457	52.38	52.70	717	-	608	-	187	-	329	-	2	2	2692	1	0	0	0	4 + 4 part	6571	32.850	1.005	0.00	139.52	15.87	2665	366033	705	-	597	-	193	-	337	-
ERR4853582	121	22	10	9	7	5	1178502	1139267	1116242	1110006	1069520	987416	48	448802	1157407	1139457	52.63	52.70	208724	208724	126626	126626	2	2	4	4	0	0	0	12	0	0	1	23 + 12 part	47451	99.407	1.003	0.00	5.79	10.85	443628	1107753	204735	204735	125872	125872	2	2	4	4
ERR4853583	24	8	8	8	6	4	1129366	1121060	1121060	1121060	1084030	1004517	15	598736	1127058	1139457	52.75	52.70	598736	598736	126674	126674	1	1	3	3	1	1	126674	11	0	0	0	1 + 8 part	19821	99.378	1.001	0.00	4.61	10.94	587999	1106789	587999	587999	106305	106305	1	1	3	3
ERR4853584	22	6	6	6	5	5	1134041	1126064	1126064	1126064	1109331	1109331	13	448973	1132022	1139457	52.75	52.70	208759	208759	149809	149809	2	2	4	4	0	0	0	10	0	0	0	1 + 7 part	19040	99.843	1.002	0.00	5.04	11.16	443760	1111704	204738	204738	144264	144264	2	2	4	4
ERR4853585	25	6	6	6	4	4	1134357	1125741	1125741	1125741	1088720	1088720	13	598749	1131721	1139457	52.75	52.70	598749	598749	175093	175093	1	1	3	3	0	0	0	11	0	0	0	1 + 7 part	19699	99.828	1.001	0.00	4.68	10.80	588006	1111529	588006	588006	175012	175012	1	1	3	3
ERR4853586	27	6	6	6	5	4	1134763	1126000	1126000	1126000	1109281	1073265	13	598742	1131922	1139457	52.75	52.70	598742	598742	172785	172785	1	1	3	3	0	0	0	11	0	0	0	1 + 7 part	18966	99.836	1.002	0.00	4.77	10.89	587872	1111613	587872	587872	169388	169388	1	1	3	3
ERR4853587	26	9	8	7	6	4	1129653	1121311	1117120	1111904	1095163	1011286	16	598738	1127270	1139457	52.75	52.70	598738	598738	126658	126658	1	1	3	3	0	0	0	11	0	0	0	1 + 6 part	19095	99.390	1.002	0.00	3.89	10.58	587985	1106899	587985	587985	125863	125863	1	1	3	3
ERR4853588	25	6	6	6	4	4	1134496	1125909	1125909	1125909	1088820	1088820	13	598812	1131879	1139457	52.75	52.70	598812	598812	175127	175127	1	1	3	3	0	0	0	11	0	0	0	1 + 7 part	19770	99.834	1.001	0.00	4.95	11.34	587915	1111510	587915	587915	175012	175012	1	1	3	3
ERR4853589	79	54	36	31	15	4	1128021	1115018	1066734	1032271	768230	370676	68	131694	1125562	1139457	52.75	52.70	37378	37378	19718	18812	9	9	19	20	0	0	0	10	0	0	0	2 + 12 part	20625	99.135	1.002	0.00	4.99	10.33	131694	1103855	37378	37378	18323	18323	9	9	20	20
ERR4853590	66	42	32	28	16	8	1130085	1120451	1086170	1060030	876158	615389	49	122086	1126473	1139457	52.74	52.70	58108	58108	27092	26015	8	8	15	16	0	0	0	8	0	0	1	1 + 11 part	19484	99.326	1.002	0.00	3.53	10.22	120770	1106549	58107	58107	26015	26015	8	8	16	16
ERR4853591	289	214	75	25	1	0	1123035	1080302	719440	371117	25053	0	258	25053	1113744	1139457	52.71	52.70	6853	6806	3915	3826	48	50	102	107	1	1	544	10	0	0	0	3 + 13 part	18804	98.034	1.004	0.00	12.74	9.90	25053	1094282	6788	6693	3875	3729	50	51	104	109
ERR4853592	26	11	10	10	8	7	1129754	1122220	1121214	1121214	1084052	1040627	18	383476	1128019	1139457	52.75	52.70	126728	126728	106284	106284	3	3	5	5	1	1	126728	10	0	0	0	2 + 8 part	19952	99.382	1.002	0.00	3.26	10.58	378404	1106762	115020	115020	82150	82150	3	3	6	6
ERR4853593	33	11	11	11	8	5	1129986	1120908	1120908	1120908	1072329	961475	18	448977	1126896	1139457	52.75	52.70	159333	159333	108150	108150	2	2	4	4	1	1	95265	10	0	0	0	1 + 9 part	19654	99.373	1.001	0.00	5.43	11.39	443624	1106659	155936	155936	108105	50833	2	2	4	5
