Gene,Nichols,Nichols - Madagascar,SS14,TEN,TPE,Accession,Name,Organism
rpsQ,189,37,279,8,31,WP_014342322,30S ribosomal protein S17 [Treponema pallidum],Treponema pallidum
pgk,189,37,279,8,31,WP_010881985,phosphoglycerate kinase [Treponema pallidum],Treponema pallidum
tpiA,189,37,279,8,31,WP_010881984,triose-phosphate isomerase [Treponema pallidum],Treponema pallidum
ftsZ,189,37,279,8,31,WP_010881838,MULTISPECIES: cell division protein FtsZ [Treponema],Treponema
scpA,189,37,279,8,31,WP_013945299,segregation and condensation protein A [Treponema paraluiscuniculi],Treponema paraluiscuniculi
rpmF,189,37,279,8,31,WP_010882252,MULTISPECIES: 50S ribosomal protein L32 [Treponema],Treponema
group_53,189,37,279,8,31,WP_235214103,hypothetical protein [Treponema pallidum],Treponema pallidum
group_52,189,37,279,8,31,WP_010882217,MULTISPECIES: hypothetical protein [Treponema],Treponema
dbpA,189,37,279,8,31,WP_014342570,DEAD/DEAH box helicase [Treponema pallidum],Treponema pallidum
sapB,189,37,279,8,31,WP_010882219,MgtC/SapB family protein [Treponema pallidum],Treponema pallidum
nlpD~~~lysM,189,37,279,8,31,WP_014342622,peptidoglycan DD-metalloendopeptidase family protein [Treponema pallidum],Treponema pallidum
dctQ,189,37,279,8,31,WP_014342665,TRAP transporter large permease subunit [Treponema pallidum],Treponema pallidum
flgG,189,37,279,8,31,WP_010882404,MULTISPECIES: flagellar basal-body rod protein FlgG [Treponema],Treponema
rsbU,189,37,279,8,31,WP_010881667,PP2C family protein-serine/threonine phosphatase [Treponema pallidum],Treponema pallidum
mtnN,189,37,279,8,31,WP_010881617,5'-methylthioadenosine/adenosylhomocysteine nucleosidase [Treponema pallidum],Treponema pallidum
group_48,189,37,279,8,31,WP_014505457,ABC transporter substrate-binding protein [Treponema pallidum],Treponema pallidum
hisJ,189,37,279,8,31,WP_244857657,transporter substrate-binding domain-containing protein [Treponema pallidum],Treponema pallidum
rplD,189,37,279,8,31,WP_014342319,50S ribosomal protein L4 [Treponema pallidum],Treponema pallidum
ispE,189,37,279,8,31,WP_014342400,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Treponema pallidum],Treponema pallidum
lapB,189,37,279,8,31,WP_014342401,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
group_46,189,37,279,8,31,WP_235214032,hypothetical protein [Treponema pallidum],Treponema pallidum
group_45,189,37,279,8,31,WP_010882229,MULTISPECIES: hypothetical protein [Treponema],Treponema
group_44,189,37,279,8,31,WP_237249911,LptA/OstA family protein [Treponema pallidum],Treponema pallidum
fhlA,189,37,279,8,31,WP_014342260,sigma-54 interaction domain-containing protein [Treponema pallidum],Treponema pallidum
group_43,189,37,279,8,31,WP_014342262,putative glycoside hydrolase [Treponema pallidum],Treponema pallidum
cutS~~~cutB,189,37,279,8,31,WP_014342259,FAD binding domain-containing protein [Treponema pallidum],Treponema pallidum
nIF3,189,37,279,8,31,WP_010882421,Nif3-like dinuclear metal center hexameric protein [Treponema pallidum],Treponema pallidum
dam,189,37,279,8,31,WP_010882255,DNA adenine methylase [Treponema pallidum],Treponema pallidum
htpG,189,37,279,8,31,WP_014342677,molecular chaperone HtpG [Treponema pallidum],Treponema pallidum
ctpA,189,37,279,8,31,WP_014505444,S41 family peptidase [Treponema pallidum],Treponema pallidum
secA,189,37,279,8,31,WP_014342406,preprotein translocase subunit SecA [Treponema pallidum],Treponema pallidum
aNKYR,189,37,279,8,31,WP_010881951,ankyrin repeat domain-containing protein [Treponema pallidum],Treponema pallidum
pilZ,189,37,279,8,31,WP_237260074,PilZ domain-containing protein [Treponema pallidum],Treponema pallidum
rpoA,189,37,279,8,31,WP_014342325,DNA-directed RNA polymerase subunit alpha [Treponema pallidum],Treponema pallidum
proS,189,37,279,8,31,WP_010881607,proline--tRNA ligase [Treponema pallidum],Treponema pallidum
ybbR,189,37,279,8,31,WP_014342597,CdaR family protein [Treponema pallidum],Treponema pallidum
ldhD,189,37,279,8,31,WP_010881486,D-2-hydroxyacid dehydrogenase [Treponema pallidum],Treponema pallidum
znuC,189,37,279,8,31,WP_010881484,metal ABC transporter ATP-binding protein [Treponema pallidum],Treponema pallidum
flaA,189,37,279,8,31,WP_014342527,flagellar filament outer layer protein FlaA [Treponema pallidum],Treponema pallidum
apbE,189,37,279,8,31,WP_014342584,FAD:protein FMN transferase [Treponema pallidum],Treponema pallidum
tPR~~~lapB,189,37,279,8,31,WP_014342663,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
group_39,189,37,279,8,31,WP_010882122,hypothetical protein [Treponema pallidum],Treponema pallidum
traB,189,37,279,8,31,WP_013945287,TraB/GumN family protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
amiC,189,37,279,8,31,WP_014505437,N-acetylmuramoyl-L-alanine amidase [Treponema pallidum],Treponema pallidum
mltG,189,37,279,8,31,WP_237249935,endolytic transglycosylase MltG [Treponema pallidum],Treponema pallidum
tpf1,189,37,279,8,31,WP_014342705,Dps family protein [Treponema pallidum],Treponema pallidum
epmA,189,37,279,8,31,WP_010882484,EF-P lysine aminoacylase GenX [Treponema pallidum],Treponema pallidum
dusB,189,37,279,8,31,WP_010882424,tRNA dihydrouridine synthase DusB [Treponema pallidum],Treponema pallidum
rbfA,189,37,279,8,31,WP_010882333,MULTISPECIES: 30S ribosome-binding factor RbfA [Treponema],Treponema
group_34,189,37,279,8,31,WP_014342578,hypothetical protein [Treponema pallidum],Treponema pallidum
ftsI,189,37,279,8,31,WP_010882205,penicillin-binding protein [Treponema pallidum],Treponema pallidum
group_32,189,37,279,8,31,WP_014342690,hypothetical protein [Treponema pallidum],Treponema pallidum
group_31,189,37,279,8,31,WP_010882447,hypothetical protein [Treponema pallidum],Treponema pallidum
rluA,189,37,279,8,31,WP_014342305,RluA family pseudouridine synthase [Treponema pallidum],Treponema pallidum
murF,189,37,279,8,31,WP_010881834,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Treponema pallidum],Treponema pallidum
troD,189,37,279,8,31,WP_014342310,transition metal ABC transporter permease subunit TroD [Treponema pallidum],Treponema pallidum
yqeK,189,37,279,8,31,WP_014505589,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK [Treponema pallidum],Treponema pallidum
ispA,189,37,279,8,31,WP_010882128,MULTISPECIES: polyprenyl synthetase family protein [Treponema],Treponema
rsmH,189,37,279,8,31,WP_014342407,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH [Treponema pallidum],Treponema pallidum
ywaF,189,37,279,8,31,WP_010881829,TIGR02206 family membrane protein [Treponema pallidum],Treponema pallidum
group_29,189,37,279,8,31,WP_012460531,hypothetical protein [Treponema pallidum],Treponema pallidum
gltP,189,37,279,8,31,WP_014342482,dicarboxylate/amino acid:cation symporter [Treponema pallidum],Treponema pallidum
group_27,189,37,279,8,31,WP_010882145,MULTISPECIES: hypothetical protein [Treponema],Treponema
group_26,189,37,279,8,31,WP_010881538,Crp/Fnr family transcriptional regulator [Treponema pallidum],Treponema pallidum
thiD,189,37,279,8,31,WP_010881564,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase [Treponema pallidum],Treponema pallidum
group_22,189,37,279,8,31,WP_237249930,Gx transporter family protein [Treponema pallidum],Treponema pallidum
ugpB,189,37,279,8,31,WP_010882182,ABC transporter substrate-binding protein [Treponema pallidum],Treponema pallidum
rpsM,189,37,279,8,31,WP_010881658,MULTISPECIES: 30S ribosomal protein S13 [Treponema],Treponema
secY,189,37,279,8,31,WP_014342324,preprotein translocase subunit SecY [Treponema pallidum],Treponema pallidum
group_19,189,37,279,8,31,WP_014342314,6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum],Treponema pallidum
parA,189,37,279,8,31,WP_010881721,ParA family protein [Treponema pallidum],Treponema pallidum
brnQ,189,37,279,8,31,WP_014342347,branched-chain amino acid transport system II carrier protein [Treponema pallidum],Treponema pallidum
group_18,189,37,279,8,31,WP_237250218,LamG-like jellyroll fold domain-containing protein [Treponema pallidum],Treponema pallidum
ccmA,189,37,279,8,31,WP_010881716,bactofilin family protein [Treponema pallidum],Treponema pallidum
flgE,189,37,279,8,31,WP_010882172,flagellar hook protein FlgE [Treponema pallidum],Treponema pallidum
fliK,189,37,279,8,31,WP_014342552,flagellar hook-length control protein FliK [Treponema pallidum],Treponema pallidum
group_17,189,37,279,8,31,WP_010882420,hypothetical protein [Treponema pallidum],Treponema pallidum
group_16,189,37,279,8,31,WP_010882344,MATE family efflux transporter [Treponema pallidum],Treponema pallidum
group_14,189,37,279,8,31,WP_014342298,alpha-amylase/4-alpha-glucanotransferase domain-containing protein [Treponema pallidum],Treponema pallidum
oppA,189,37,279,8,31,WP_014342497,peptide ABC transporter substrate-binding protein [Treponema pallidum],Treponema pallidum
recX,189,37,279,8,31,WP_010882467,recombination regulator RecX [Treponema pallidum],Treponema pallidum
gatB,189,37,279,8,31,WP_010882465,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Treponema pallidum],Treponema pallidum
bamD,189,37,279,8,31,WP_014342398,outer membrane protein assembly factor BamD [Treponema pallidum],Treponema pallidum
pgsA,189,37,279,8,31,WP_010881705,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Treponema pallidum],Treponema pallidum
murD,189,37,279,8,31,WP_014342636,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Treponema pallidum],Treponema pallidum
tmpC,189,37,279,8,31,WP_014342368,membrane lipoprotein TmpC [Treponema pallidum],Treponema pallidum
crp,189,37,279,8,31,WP_014342344,cyclic nucleotide-binding domain-containing protein [Treponema pallidum],Treponema pallidum
group_11,189,37,279,8,31,WP_012460557,hypothetical protein [Treponema pallidum],Treponema pallidum
group_10,189,37,279,8,31,WP_010881524,carbohydrate ABC transporter permease [Treponema pallidum],Treponema pallidum
group_9,189,37,279,8,31,WP_010882238,hypothetical protein [Treponema pallidum],Treponema pallidum
murE,189,37,279,8,31,WP_010882376,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Treponema pallidum],Treponema pallidum
dnaE,189,37,279,8,31,WP_010882114,DNA polymerase III subunit alpha [Treponema pallidum],Treponema pallidum
group_8,189,37,279,8,31,WP_010881982,hypothetical protein [Treponema pallidum],Treponema pallidum
surE,189,37,279,8,31,WP_014342417,5'/3'-nucleotidase SurE [Treponema pallidum],Treponema pallidum
group_7,189,37,279,8,31,WP_010882283,DUF4097 family beta strand repeat-containing protein [Treponema pallidum],Treponema pallidum
tmpA,189,37,279,8,31,WP_010882213,MULTISPECIES: migration/adhesion factor TmpA [Treponema],Treponema
lepB,189,37,279,8,31,WP_254867767,signal peptidase I [Treponema pallidum],Treponema pallidum
group_4,189,37,279,8,31,WP_014342646,helix-hairpin-helix domain-containing protein [Treponema pallidum],Treponema pallidum
group_3,189,37,279,8,31,WP_010881605,pyrimidine 5'-nucleotidase [Treponema pallidum],Treponema pallidum
atpI1,189,37,279,8,31,WP_237260088,V-type ATP synthase subunit I [Treponema pallidum],Treponema pallidum
yidC,189,37,279,8,31,WP_014342659,membrane protein insertase YidC [Treponema pallidum],Treponema pallidum
ylaD,189,37,279,8,31,WP_010882400,TRAP transporter TatT component family protein [Treponema pallidum],Treponema pallidum
tlpA,189,37,279,8,31,WP_010881549,TlpA family protein disulfide reductase [Treponema pallidum],Treponema pallidum
hrpA,189,37,279,8,31,WP_010881974,helicase-related protein [Treponema pallidum],Treponema pallidum
nadE,189,37,279,8,31,WP_014342576,NAD(+) synthase [Treponema pallidum],Treponema pallidum
group_0,189,37,279,8,31,WP_010882208,MULTISPECIES: hypothetical protein [Treponema],Treponema
ftsH,189,37,279,8,31,WP_014342566,ATP-dependent zinc metalloprotease FtsH [Treponema pallidum],Treponema pallidum
vwb,189,37,279,8,31,WP_010882196,vascular adhesin/metalloprotease pallilysin [Treponema pallidum],Treponema pallidum
sEC59,189,37,279,8,30,WP_013945487,diacylglycerol/polyprenol kinase family protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
tssH~~~clpB,189,37,279,8,30,WP_010881520,MULTISPECIES: ATP-dependent chaperone ClpB [Treponema],Treponema
group_325,189,37,279,7,31,WP_010882152,hypothetical protein [Treponema pallidum],Treponema pallidum
rimP,189,37,279,7,31,WP_014342632,ribosome maturation factor RimP [Treponema pallidum],Treponema pallidum
cbiQ,189,37,279,7,31,WP_013944908,CbiQ family ECF transporter T component [Treponema paraluiscuniculi],Treponema paraluiscuniculi
rnpA,189,37,279,7,31,WP_014342660,ribonuclease P protein component [Treponema pallidum],Treponema pallidum
tpd,189,37,278,8,31,WP_010882415,MULTISPECIES: iron transporter [Treponema],Treponema
plsC,189,37,278,8,31,WP_014342391,lysophospholipid acyltransferase family protein [Treponema pallidum],Treponema pallidum
rpsO,189,37,279,7,31,WP_010882330,MULTISPECIES: 30S ribosomal protein S15 [Treponema],Treponema
comFC~~~comF,189,37,278,8,31,WP_237260057,ComF family protein [Treponema pallidum],Treponema pallidum
rRM,189,37,278,8,31,WP_013945017,MULTISPECIES: RNA recognition motif domain-containing protein [Treponema],Treponema
group_314,189,37,278,8,31,NA,NA,NA
group_310,189,37,279,7,31,WP_014342237,hypothetical protein [Treponema pallidum],Treponema pallidum
bepA,189,37,279,8,30,WP_010882358,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
rplJ,189,37,279,7,31,WP_010881687,50S ribosomal protein L10 [Treponema pallidum],Treponema pallidum
fliS,189,37,279,7,31,WP_010882386,MULTISPECIES: flagellar export chaperone FliS [Treponema],Treponema
group_299,188,37,279,8,31,WP_010881787,RluA family pseudouridine synthase [Treponema pallidum],Treponema pallidum
mcr1,189,37,279,8,30,WP_014342556,sulfide/dihydroorotate dehydrogenase-like FAD/NAD-binding protein [Treponema pallidum],Treponema pallidum
secE,189,37,279,7,31,WP_010881683,MULTISPECIES: preprotein translocase subunit SecE [Treponema],Treponema
ybgF,189,37,278,8,31,WP_010881731,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
ffh,189,37,278,8,31,WP_014342415,signal recognition particle protein [Treponema pallidum],Treponema pallidum
rpe,189,37,279,7,31,WP_010882388,MULTISPECIES: ribulose-phosphate 3-epimerase [Treponema],Treponema
bioY,189,37,279,7,31,WP_193386055,biotin transporter BioY [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_291,189,37,279,8,30,WP_245522161,hypothetical protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_290,189,37,279,8,30,WP_013945076,hypothetical protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
rplW,189,37,278,8,31,WP_010881638,MULTISPECIES: 50S ribosomal protein L23 [Treponema],Treponema
scpB,189,37,278,8,31,WP_014342435,SMC-Scp complex subunit ScpB [Treponema pallidum],Treponema pallidum
tprC~~~tprF,189,37,279,7,31,WP_014342366,major outer sheath N-terminal domain-containing protein [Treponema pallidum],Treponema pallidum
rplQ,189,37,279,8,30,WP_010881661,50S ribosomal protein L17 [Treponema pallidum],Treponema pallidum
group_282,189,37,278,8,31,WP_010881888,DegT/DnrJ/EryC1/StrS family aminotransferase [Treponema pallidum],Treponema pallidum
mntB~~~troB,189,37,279,8,30,WP_013944862,MULTISPECIES: transition metal ABC transporter ATP-binding protein TroB [Treponema],Treponema
group_280,189,37,278,8,31,WP_014342282,DUF2715 domain-containing protein [Treponema pallidum],Treponema pallidum
group_276,189,37,279,8,30,WP_014342618,UPF0164 family protein [Treponema pallidum],Treponema pallidum
group_275,189,37,279,7,31,WP_049774996,DUF302 domain-containing protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
eCM27,189,37,278,8,31,WP_014342702,sodium:calcium antiporter [Treponema pallidum],Treponema pallidum
group_272,189,37,279,8,30,WP_014342668,hypothetical protein [Treponema pallidum],Treponema pallidum
dnaA,189,37,278,8,31,WP_010881451,chromosomal replication initiator protein DnaA [Treponema pallidum],Treponema pallidum
group_271,189,37,279,7,31,NA,NA,NA
rsiW,189,37,279,8,30,WP_237249922,anti-sigma factor family protein [Treponema pallidum],Treponema pallidum
topA,189,37,279,8,30,WP_014342408,type I DNA topoisomerase [Treponema pallidum],Treponema pallidum
xerD,188,37,279,8,31,WP_010881839,site-specific tyrosine recombinase [Treponema pallidum],Treponema pallidum
group_266,189,37,278,8,31,WP_010881816,hypothetical protein [Treponema pallidum],Treponema pallidum
rsmG,189,37,279,7,31,WP_010882389,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG [Treponema pallidum],Treponema pallidum
group_259,189,37,279,8,30,WP_014342429,hypothetical protein [Treponema pallidum],Treponema pallidum
flaB3,189,37,278,8,31,WP_010882313,flagellin [Treponema pallidum],Treponema pallidum
fliD,189,37,278,8,31,WP_014342626,flagellar filament capping protein FliD [Treponema pallidum],Treponema pallidum
group_257,189,37,279,8,30,WP_010881702,MULTISPECIES: bactofilin family protein [Treponema],Treponema
group_254,189,37,279,8,30,WP_014342340,apolipoprotein N-acyltransferase [Treponema pallidum],Treponema pallidum
lptF,189,37,278,8,31,WP_013945460,MULTISPECIES: LptF/LptG family permease [Treponema],Treponema
group_252,189,37,279,8,30,WP_010881475,flagellar motor switch protein FliG [Treponema pallidum],Treponema pallidum
rfuA,189,37,278,8,31,WP_010881747,BMP family ABC transporter substrate-binding protein [Treponema pallidum],Treponema pallidum
rfuB,189,37,278,8,31,WP_014342358,ATP-binding cassette domain-containing protein [Treponema pallidum],Treponema pallidum
yuiD,189,37,278,8,31,WP_010881600,divergent PAP2 family protein [Treponema pallidum],Treponema pallidum
ftsN,189,37,278,8,31,WP_014505451,SPOR domain-containing protein [Treponema pallidum],Treponema pallidum
group_248,189,37,279,8,30,WP_010881473,potassium channel family protein [Treponema pallidum],Treponema pallidum
xylB,189,37,278,8,31,WP_010881743,MULTISPECIES: ribose-phosphate pyrophosphokinase [Treponema],Treponema
hup,189,37,279,8,30,WP_010881700,HU family DNA-binding protein [Treponema pallidum],Treponema pallidum
ubiG,189,37,278,8,31,WP_014342356,cytidylyltransferase domain-containing protein [Treponema pallidum],Treponema pallidum
yocR,189,37,279,8,30,WP_010881472,sodium-dependent transporter [Treponema pallidum],Treponema pallidum
flaA1,189,37,279,8,30,WP_010881526,polysaccharide biosynthesis protein [Treponema pallidum],Treponema pallidum
group_244,189,37,278,8,31,WP_245522172,hypothetical protein [Treponema pallidum],Treponema pallidum
atpD1,189,37,279,8,30,WP_010881876,MULTISPECIES: V-type ATP synthase subunit D [Treponema],Treponema
rpsT,189,37,279,8,30,WP_010881699,30S ribosomal protein S20 [Treponema pallidum],Treponema pallidum
rpoD,189,37,279,8,30,WP_013945567,sigma-70 family RNA polymerase sigma factor [Treponema paraluiscuniculi],Treponema paraluiscuniculi
skfB,189,37,278,8,31,WP_310794698,spiro-SPASM protein [Treponema pallidum],Treponema pallidum
flgK,189,37,279,8,30,WP_010882105,flagellar hook-associated protein FlgK [Treponema pallidum],Treponema pallidum
sufU,189,37,279,7,31,WP_010882061,MULTISPECIES: Fe-S cluster assembly sulfur transfer protein SufU [Treponema],Treponema
trmB,189,37,279,8,30,WP_014342439,tRNA (guanosine(46)-N7)-methyltransferase TrmB [Treponema pallidum],Treponema pallidum
proA,189,37,279,8,30,WP_014342384,glutamate-5-semialdehyde dehydrogenase [Treponema pallidum],Treponema pallidum
group_237,189,37,279,8,30,WP_014342438,hypothetical protein [Treponema pallidum],Treponema pallidum
ylqH,189,37,278,8,31,WP_010882354,MULTISPECIES: FlhB-like flagellar biosynthesis protein [Treponema],Treponema
truB,189,37,279,8,30,WP_014342630,tRNA pseudouridine(55) synthase TruB [Treponema pallidum],Treponema pallidum
alr,189,37,279,8,30,WP_012460586,alanine racemase [Treponema pallidum],Treponema pallidum
cheW,189,37,278,8,31,WP_014505499,MULTISPECIES: chemotaxis protein CheW [Treponema],Treponema
group_232,189,37,279,8,30,WP_012460541,ATP-binding protein [Treponema pallidum],Treponema pallidum
group_230,189,37,279,8,30,WP_014342271,DUF5312 domain-containing protein [Treponema pallidum],Treponema pallidum
coaD,189,37,278,8,31,WP_010881732,pantetheine-phosphate adenylyltransferase [Treponema pallidum],Treponema pallidum
hemN,189,37,279,8,30,WP_014342317,coproporphyrinogen-III oxidase family protein [Treponema pallidum],Treponema pallidum
group_223,189,37,278,8,31,WP_025267561,MULTISPECIES: chromate transporter [Treponema],Treponema
sufD,189,37,279,8,30,WP_010882059,Fe-S cluster assembly protein SufD [Treponema pallidum],Treponema pallidum
sufB~~~sufD,189,37,279,8,30,WP_010882058,Fe-S cluster assembly protein SufB [Treponema pallidum],Treponema pallidum
group_218,189,37,278,8,31,WP_010881460,major outer sheath C-terminal domain-containing protein [Treponema pallidum],Treponema pallidum
group_216,189,37,278,8,31,WP_014342619,UPF0164 family protein [Treponema pallidum],Treponema pallidum
deoC,189,37,279,8,30,WP_010881713,deoxyribose-phosphate aldolase [Treponema pallidum],Treponema pallidum
recQ,189,37,279,8,30,WP_014342268,helicase-related protein [Treponema pallidum],Treponema pallidum
swrD~~~flbD,189,37,278,8,31,WP_010882171,MULTISPECIES: flagellar FlbD family protein [Treponema],Treponema
rsmI,189,37,278,8,31,WP_010882419,MULTISPECIES: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [Treponema],Treponema
tPR,189,37,279,8,30,WP_014505568,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
group_203,189,37,278,8,31,WP_010881860,PUR family DNA/RNA-binding protein [Treponema pallidum],Treponema pallidum
era,189,37,279,8,30,WP_014342470,GTPase Era [Treponema pallidum],Treponema pallidum
rsmA,189,37,279,8,30,WP_013944998,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA [Treponema paraluiscuniculi],Treponema paraluiscuniculi
uvrA,188,37,279,8,31,WP_010881963,excinuclease ABC subunit UvrA [Treponema pallidum],Treponema pallidum
sufC,189,37,279,8,30,WP_010882057,Fe-S cluster assembly ATPase SufC [Treponema pallidum],Treponema pallidum
group_198,189,37,278,8,31,WP_014342567,hypothetical protein [Treponema pallidum],Treponema pallidum
natA,189,37,278,8,31,WP_014505641,ATP-binding cassette domain-containing protein [Treponema pallidum],Treponema pallidum
mrcA,189,37,279,8,30,WP_010882150,penicillin-binding protein 1A [Treponema pallidum],Treponema pallidum
rbsB,189,37,279,8,30,WP_014342473,endonuclease/exonuclease/phosphatase family protein [Treponema pallidum],Treponema pallidum
group_195,189,37,279,8,30,WP_014342689,alanine/glycine:cation symporter family protein [Treponema pallidum],Treponema pallidum
group_193,189,37,279,8,30,WP_331488657,TIGR03545 family protein [Treponema pallidum],Treponema pallidum
group_191,189,37,279,7,31,WP_010882345,alpha/beta hydrolase [Treponema pallidum],Treponema pallidum
tamB,189,37,279,8,30,WP_014342370,translocation/assembly module TamB domain-containing protein [Treponema pallidum],Treponema pallidum
thiI,189,37,279,8,30,WP_014342484,tRNA uracil 4-sulfurtransferase ThiI [Treponema pallidum],Treponema pallidum
group_188,189,37,279,8,30,WP_010881898,elongation factor G [Treponema pallidum],Treponema pallidum
pfp,189,37,279,8,30,WP_014342471,diphosphate--fructose-6-phosphate 1-phosphotransferase [Treponema pallidum],Treponema pallidum
narQ,189,37,279,8,30,WP_010881934,adenylate/guanylate cyclase domain-containing protein [Treponema pallidum],Treponema pallidum
group_183,189,37,279,8,30,WP_013945439,UPF0164 family protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
group_181,189,37,279,8,30,WP_010882071,hypothetical protein [Treponema pallidum],Treponema pallidum
group_179,189,37,278,8,31,WP_014342601,hypothetical protein [Treponema pallidum],Treponema pallidum
flgM,189,37,278,8,31,WP_010882418,MULTISPECIES: flagellar biosynthesis anti-sigma factor FlgM [Treponema],Treponema
group_174,189,37,279,8,30,WP_014342508,major outer sheath N-terminal domain-containing protein [Treponema pallidum],Treponema pallidum
msrAB,189,37,279,7,31,WP_014342515,bifunctional methionine sulfoxide reductase B/A protein [Treponema pallidum],Treponema pallidum
fliG,189,37,279,8,30,WP_010881848,flagellar motor switch protein FliG [Treponema pallidum],Treponema pallidum
fbpB,189,37,279,8,30,WP_237260078,ABC transporter permease [Treponema pallidum],Treponema pallidum
groES,189,37,279,7,31,WP_014342692,co-chaperone GroES [Treponema pallidum],Treponema pallidum
group_163,189,37,279,8,30,WP_014342326,molecular chaperone DnaJ [Treponema pallidum],Treponema pallidum
group_160,189,37,278,8,31,WP_010882106,hypothetical protein [Treponema pallidum],Treponema pallidum
group_159,189,37,278,8,31,WP_237250226,DUF2715 domain-containing protein [Treponema pallidum],Treponema pallidum
atoC,189,37,278,8,31,WP_010881968,MULTISPECIES: sigma-54-dependent transcriptional regulator [Treponema],Treponema
ftsB,189,37,278,8,31,WP_010881628,septum formation initiator family protein [Treponema pallidum],Treponema pallidum
gltX,189,37,278,8,31,WP_010882118,glutamate--tRNA ligase [Treponema pallidum],Treponema pallidum
group_155,189,37,278,8,31,WP_010881807,DUF4912 domain-containing protein [Treponema pallidum],Treponema pallidum
group_153,188,37,279,8,31,WP_014342488,DUF459 domain-containing protein [Treponema pallidum],Treponema pallidum
group_151,189,37,279,8,30,WP_013945483,MULTISPECIES: hypothetical protein [Treponema],Treponema
chiX,189,37,279,8,30,WP_010882038,M15 family metallopeptidase [Treponema pallidum],Treponema pallidum
flhB,189,37,279,8,30,WP_013945319,MULTISPECIES: flagellar biosynthesis protein FlhB [Treponema],Treponema
hpt1,189,37,279,8,30,WP_010881499,phosphoribosyltransferase [Treponema pallidum],Treponema pallidum
group_145,189,37,278,8,31,NA,NA,NA
tsf,189,37,279,8,30,WP_010882051,translation elongation factor Ts [Treponema pallidum],Treponema pallidum
alsT,189,37,278,8,31,WP_235214099,alanine/glycine:cation symporter family protein [Treponema pallidum],Treponema pallidum
dprA,189,37,279,8,30,WP_010881841,DNA-processing protein DprA [Treponema pallidum],Treponema pallidum
group_138,189,37,278,8,31,WP_014342330,leucine-rich repeat domain-containing protein [Treponema pallidum],Treponema pallidum
group_137,189,37,278,8,31,WP_010881929,MULTISPECIES: DUF2062 domain-containing protein [Treponema],Treponema
yajL,189,37,279,8,30,WP_014342427,DJ-1/PfpI family protein [Treponema pallidum],Treponema pallidum
group_135,189,37,278,8,31,WP_237250221,single-stranded DNA-binding protein [Treponema pallidum],Treponema pallidum
rplV,189,37,278,8,31,WP_010881641,MULTISPECIES: 50S ribosomal protein L22 [Treponema],Treponema
group_134,189,37,279,7,31,WP_010881823,hypothetical protein [Treponema pallidum],Treponema pallidum
tsaB,189,37,279,8,30,WP_010882319,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB [Treponema pallidum],Treponema pallidum
group_123,189,37,279,8,30,WP_014342526,MULTISPECIES: flagellar filament outer layer protein FlaA [Treponema],Treponema
cysS,189,37,279,8,30,WP_010881540,cysteine--tRNA ligase [Treponema pallidum],Treponema pallidum
group_120,189,37,279,8,30,WP_010881519,MULTISPECIES: hypothetical protein [Treponema],Treponema
glmU,189,37,279,8,30,WP_014342644,nucleotidyltransferase family protein [Treponema pallidum],Treponema pallidum
dnaN,189,37,279,8,30,WP_010881452,DNA polymerase III subunit beta [Treponema pallidum],Treponema pallidum
rnfD,189,37,278,8,31,WP_014342302,RnfABCDGE type electron transport complex subunit D [Treponema pallidum],Treponema pallidum
mglB,189,37,278,8,31,WP_014342538,substrate-binding domain-containing protein [Treponema pallidum],Treponema pallidum
hxk,189,37,279,8,30,WP_010881954,hexokinase family protein [Treponema pallidum],Treponema pallidum
group_109,189,37,279,7,31,WP_010882045,CpXC domain-containing protein [Treponema pallidum],Treponema pallidum
