Assembly Accession	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value
GCA_018202855.2	isolation_source	swab
GCA_018202855.2	lat_lon	missing
GCA_018202875.2	strain	UAB40xi
GCA_018202875.2	collected_by	NA
GCA_018202875.2	collection_date	2000
GCA_018202875.2	geo_loc_name	Madagascar
GCA_018202875.2	host	Homo sapiens
GCA_018202875.2	host_disease	syphilis
GCA_018202875.2	isolation_source	swab
GCA_018202875.2	lat_lon	missing
GCA_018202895.2	strain	UAB44xi
GCA_018202895.2	collected_by	NA
GCA_018202895.2	collection_date	2000
GCA_018202895.2	geo_loc_name	Madagascar
GCA_018202895.2	host	Homo sapiens
GCA_018202895.2	host_disease	syphilis
GCA_018202895.2	isolation_source	swab
GCA_018202895.2	lat_lon	missing
GCA_018202915.2	strain	ItalyGE5b
GCA_018202915.2	collected_by	NA
GCA_018202915.2	collection_date	2017
GCA_018202915.2	geo_loc_name	Italy
GCA_018202915.2	host	Homo sapiens
GCA_018202915.2	host_disease	syphilis
GCA_018202915.2	isolation_source	swab
GCA_018202915.2	lat_lon	missing
GCA_018202935.2	strain	Japan318
GCA_018202935.2	collected_by	NA
GCA_018202935.2	collection_date	2019
GCA_018202935.2	geo_loc_name	Japan
GCA_018202935.2	host	Homo sapiens
GCA_018202935.2	host_disease	syphilis
GCA_018202935.2	isolation_source	swab
GCA_018202935.2	lat_lon	missing
GCA_018202955.2	strain	UAB38xi
GCA_018202955.2	collected_by	NA
GCA_018202955.2	collection_date	2000
GCA_018202955.2	geo_loc_name	Madagascar
GCA_018202955.2	host	Homo sapiens
GCA_018202955.2	host_disease	syphilis
GCA_018202955.2	isolation_source	swab
GCA_018202955.2	lat_lon	missing
GCA_018202975.2	strain	Japan316x
GCA_018202975.2	collected_by	NA
GCA_018202975.2	collection_date	2019
GCA_018202975.2	geo_loc_name	Japan
GCA_018202975.2	host	Homo sapiens
GCA_018202975.2	host_disease	syphilis
GCA_018202975.2	isolation_source	swab
GCA_018202975.2	lat_lon	missing
GCA_018202995.2	strain	UAB28xi
GCA_018202995.2	collected_by	NA
GCA_018202995.2	collection_date	2000
GCA_018202995.2	geo_loc_name	Madagascar
GCA_018202995.2	host	Homo sapiens
GCA_018202995.2	host_disease	syphilis
GCA_018202995.2	isolation_source	swab
GCA_018202995.2	lat_lon	missing
GCA_018203015.2	strain	ItalyGE6
GCA_018203015.2	collected_by	NA
GCA_018203015.2	collection_date	2017
GCA_018203015.2	geo_loc_name	Italy
GCA_018203015.2	host	Homo sapiens
GCA_018203015.2	host_disease	syphilis
GCA_018203015.2	isolation_source	swab
GCA_018203015.2	lat_lon	missing
GCA_018203035.2	strain	UAB278i
GCA_018203035.2	collected_by	NA
GCA_018203035.2	collection_date	2003
GCA_018203035.2	geo_loc_name	Madagascar
GCA_018203035.2	host	Homo sapiens
GCA_018203035.2	host_disease	syphilis
GCA_018203035.2	isolation_source	swab
GCA_018203035.2	lat_lon	missing
GCA_018203055.2	strain	UAB276i
GCA_018203055.2	collected_by	NA
GCA_018203055.2	collection_date	2003
GCA_018203055.2	geo_loc_name	Madagascar
GCA_018203055.2	host	Homo sapiens
GCA_018203055.2	host_disease	syphilis
GCA_018203055.2	isolation_source	swab
GCA_018203055.2	lat_lon	missing
GCA_018203075.2	strain	UAB275i
GCA_018203075.2	collected_by	NA
GCA_018203075.2	collection_date	2003
GCA_018203075.2	geo_loc_name	Madagascar
GCA_018203075.2	host	Homo sapiens
GCA_018203075.2	host_disease	syphilis
GCA_018203075.2	isolation_source	swab
GCA_018203075.2	lat_lon	missing
GCA_018203095.2	strain	UAB267i
GCA_018203095.2	collected_by	NA
GCA_018203095.2	collection_date	2003
GCA_018203095.2	geo_loc_name	Madagascar
GCA_018203095.2	host	Homo sapiens
GCA_018203095.2	host_disease	syphilis
GCA_018203095.2	isolation_source	swab
GCA_018203095.2	lat_lon	missing
GCA_018203115.2	strain	UAB268xi
GCA_018203115.2	collected_by	NA
GCA_018203115.2	collection_date	2003
GCA_018203115.2	geo_loc_name	Madagascar
GCA_018203115.2	host	Homo sapiens
GCA_018203115.2	host_disease	syphilis
GCA_018203115.2	isolation_source	swab
GCA_018203115.2	lat_lon	missing
GCA_018203135.2	strain	ItalyGE5a
GCA_018203135.2	collected_by	NA
GCA_018203135.2	collection_date	2017
GCA_018203135.2	geo_loc_name	Italy
GCA_018203135.2	host	Homo sapiens
GCA_018203135.2	host_disease	syphilis
GCA_018203135.2	isolation_source	swab
GCA_018203135.2	lat_lon	missing
GCA_018203155.2	strain	UAB266i
GCA_018203155.2	collected_by	NA
GCA_018203155.2	collection_date	2003
GCA_018203155.2	geo_loc_name	Madagascar
GCA_018203155.2	host	Homo sapiens
GCA_018203155.2	host_disease	syphilis
GCA_018203155.2	isolation_source	swab
GCA_018203155.2	lat_lon	missing
GCA_018203175.2	strain	UAB263xi
GCA_018203175.2	collected_by	NA
GCA_018203175.2	collection_date	2003
GCA_018203175.2	geo_loc_name	Madagascar
GCA_018203175.2	host	Homo sapiens
GCA_018203175.2	host_disease	syphilis
GCA_018203175.2	isolation_source	swab
GCA_018203175.2	lat_lon	missing
GCA_018203195.2	strain	UAB216i
GCA_018203195.2	collected_by	NA
GCA_018203195.2	collection_date	2003
GCA_018203195.2	geo_loc_name	Madagascar
GCA_018203195.2	host	Homo sapiens
GCA_018203195.2	host_disease	syphilis
GCA_018203195.2	isolation_source	swab
GCA_018203195.2	lat_lon	missing
GCA_018203215.2	strain	UAB211i
GCA_018203215.2	collected_by	NA
GCA_018203215.2	collection_date	2002
GCA_018203215.2	geo_loc_name	Madagascar
GCA_018203215.2	host	Homo sapiens
GCA_018203215.2	host_disease	syphilis
GCA_018203215.2	isolation_source	swab
GCA_018203215.2	lat_lon	missing
GCA_018203235.2	strain	UAB204xe
GCA_018203235.2	collected_by	NA
GCA_018203235.2	collection_date	2002
GCA_018203235.2	geo_loc_name	Madagascar
GCA_018203235.2	host	Homo sapiens
GCA_018203235.2	host_disease	syphilis
GCA_018203235.2	isolation_source	swab
GCA_018203235.2	lat_lon	missing
GCA_018203255.2	strain	UAB203i
GCA_018203255.2	collected_by	NA
GCA_018203255.2	collection_date	2002
GCA_018203255.2	geo_loc_name	Madagascar
GCA_018203255.2	host	Homo sapiens
GCA_018203255.2	host_disease	syphilis
GCA_018203255.2	isolation_source	swab
GCA_018203255.2	lat_lon	missing
GCA_018203275.2	strain	UAB202xi
GCA_018203275.2	collected_by	NA
GCA_018203275.2	collection_date	2002
GCA_018203275.2	geo_loc_name	Madagascar
GCA_018203275.2	host	Homo sapiens
GCA_018203275.2	host_disease	syphilis
GCA_018203275.2	isolation_source	swab
GCA_018203275.2	lat_lon	missing
GCA_018203295.2	strain	UAB197i
GCA_018203295.2	collected_by	NA
GCA_018203295.2	collection_date	2002
GCA_018203295.2	geo_loc_name	Madagascar
GCA_018203295.2	host	Homo sapiens
GCA_018203295.2	host_disease	syphilis
GCA_018203295.2	isolation_source	swab
GCA_018203295.2	lat_lon	missing
GCA_018203315.2	strain	UAB195xi
GCA_018203315.2	collected_by	NA
GCA_018203315.2	collection_date	2002
GCA_018203315.2	geo_loc_name	Madagascar
GCA_018203315.2	host	Homo sapiens
GCA_018203315.2	host_disease	syphilis
GCA_018203315.2	isolation_source	swab
GCA_018203315.2	lat_lon	missing
GCA_018203335.2	strain	UAB194xi
GCA_018203335.2	collected_by	NA
GCA_018203335.2	collection_date	2002
GCA_018203335.2	geo_loc_name	Madagascar
GCA_018203335.2	host	Homo sapiens
GCA_018203335.2	host_disease	syphilis
GCA_018203335.2	isolation_source	swab
GCA_018203335.2	lat_lon	missing
GCA_018203355.2	strain	UAB193i
GCA_018203355.2	collected_by	NA
GCA_018203355.2	collection_date	2002
GCA_018203355.2	geo_loc_name	Madagascar
GCA_018203355.2	host	Homo sapiens
GCA_018203355.2	host_disease	syphilis
GCA_018203355.2	isolation_source	swab
GCA_018203355.2	lat_lon	missing
GCA_018203375.2	strain	UAB17x
GCA_018203375.2	collected_by	NA
GCA_018203375.2	collection_date	2000
GCA_018203375.2	geo_loc_name	Madagascar
GCA_018203375.2	host	Homo sapiens
GCA_018203375.2	host_disease	syphilis
GCA_018203375.2	isolation_source	swab
GCA_018203375.2	lat_lon	missing
GCA_018203395.2	strain	UAB191xei
GCA_018203395.2	collected_by	NA
GCA_018203395.2	collection_date	2002
GCA_018203395.2	geo_loc_name	Madagascar
GCA_018203395.2	host	Homo sapiens
GCA_018203395.2	host_disease	syphilis
GCA_018203395.2	isolation_source	swab
GCA_018203395.2	lat_lon	missing
GCA_018203415.2	strain	UAB16xi
GCA_018203415.2	collected_by	NA
GCA_018203415.2	collection_date	2000
GCA_018203415.2	geo_loc_name	Madagascar
GCA_018203415.2	host	Homo sapiens
GCA_018203415.2	host_disease	syphilis
GCA_018203415.2	isolation_source	swab
GCA_018203415.2	lat_lon	missing
GCA_018203435.2	strain	UAB167xei
GCA_018203435.2	collected_by	NA
GCA_018203435.2	collection_date	2002
GCA_018203435.2	geo_loc_name	Madagascar
GCA_018203435.2	host	Homo sapiens
GCA_018203435.2	host_disease	syphilis
GCA_018203435.2	isolation_source	swab
GCA_018203435.2	lat_lon	missing
GCA_018203455.2	strain	UAB178ei
GCA_018203455.2	collected_by	NA
GCA_018203455.2	collection_date	2002
GCA_018203455.2	geo_loc_name	Madagascar
GCA_018203455.2	host	Homo sapiens
GCA_018203455.2	host_disease	syphilis
GCA_018203455.2	isolation_source	swab
GCA_018203455.2	lat_lon	missing
GCA_018203475.2	strain	UAB166xe
GCA_018203475.2	collected_by	NA
GCA_018203475.2	collection_date	2002
GCA_018203475.2	geo_loc_name	Madagascar
GCA_018203475.2	host	Homo sapiens
GCA_018203475.2	host_disease	syphilis
GCA_018203475.2	isolation_source	swab
GCA_018203475.2	lat_lon	missing
GCA_018203495.2	strain	UAB164xei
GCA_018203495.2	collected_by	NA
GCA_018203495.2	collection_date	2002
GCA_018203495.2	geo_loc_name	Madagascar
GCA_018203495.2	host	Homo sapiens
GCA_018203495.2	host_disease	syphilis
GCA_018203495.2	isolation_source	swab
GCA_018203495.2	lat_lon	missing
GCA_018203515.2	strain	UAB165xi
GCA_018203515.2	collected_by	NA
GCA_018203515.2	collection_date	2002
GCA_018203515.2	geo_loc_name	Madagascar
GCA_018203515.2	host	Homo sapiens
GCA_018203515.2	host_disease	syphilis
GCA_018203515.2	isolation_source	swab
GCA_018203515.2	lat_lon	missing
GCA_018203535.2	strain	UAB160xe
GCA_018203535.2	collected_by	NA
GCA_018203535.2	collection_date	2001
GCA_018203535.2	geo_loc_name	Madagascar
GCA_018203535.2	host	Homo sapiens
GCA_018203535.2	host_disease	syphilis
GCA_018203535.2	isolation_source	swab
GCA_018203535.2	lat_lon	missing
GCA_018203555.2	strain	UAB162xi
GCA_018203555.2	collected_by	NA
GCA_018203555.2	collection_date	2002
GCA_018203555.2	geo_loc_name	Madagascar
GCA_018203555.2	host	Homo sapiens
GCA_018203555.2	host_disease	syphilis
GCA_018203555.2	isolation_source	swab
GCA_018203555.2	lat_lon	missing
GCA_018203575.1	strain	Tube7Lihire
GCA_018203575.1	collected_by	NA
GCA_018203575.1	collection_date	2015
GCA_018203575.1	geo_loc_name	Papua New Guinea
GCA_018203575.1	host	Homo sapiens
GCA_018203575.1	host_disease	syphilis
GCA_018203575.1	isolation_source	swab
GCA_018203575.1	lat_lon	missing
GCA_018203595.2	strain	UAB12xi
GCA_018203595.2	collected_by	NA
GCA_018203595.2	collection_date	2000
GCA_018203595.2	geo_loc_name	Madagascar
GCA_018203595.2	host	Homo sapiens
GCA_018203595.2	host_disease	syphilis
GCA_018203595.2	isolation_source	swab
GCA_018203595.2	lat_lon	missing
GCA_018203615.2	strain	PeruC40040x
GCA_018203615.2	collected_by	NA
GCA_018203615.2	collection_date	2019
GCA_018203615.2	geo_loc_name	Peru
GCA_018203615.2	host	Homo sapiens
GCA_018203615.2	host_disease	syphilis
GCA_018203615.2	isolation_source	swab
GCA_018203615.2	lat_lon	missing
GCA_018203635.2	strain	PeruC10010x
GCA_018203635.2	collected_by	NA
GCA_018203635.2	collection_date	2019
GCA_018203635.2	geo_loc_name	Peru
GCA_018203635.2	host	Homo sapiens
GCA_018203635.2	host_disease	syphilis
GCA_018203635.2	isolation_source	swab
GCA_018203635.2	lat_lon	missing
GCA_018203655.2	strain	Peru214361x
GCA_018203655.2	collected_by	NA
GCA_018203655.2	collection_date	2018
GCA_018203655.2	geo_loc_name	Peru
GCA_018203655.2	host	Homo sapiens
GCA_018203655.2	host_disease	syphilis
GCA_018203655.2	isolation_source	swab
GCA_018203655.2	lat_lon	missing
GCA_018203675.2	strain	Peru213041xe
GCA_018203675.2	collected_by	NA
GCA_018203675.2	collection_date	2018
GCA_018203675.2	geo_loc_name	Peru
GCA_018203675.2	host	Homo sapiens
GCA_018203675.2	host_disease	syphilis
GCA_018203675.2	isolation_source	swab
GCA_018203675.2	lat_lon	missing
GCA_018203695.2	strain	Peru214601x
GCA_018203695.2	collected_by	NA
GCA_018203695.2	collection_date	2018
GCA_018203695.2	geo_loc_name	Peru
GCA_018203695.2	host	Homo sapiens
GCA_018203695.2	host_disease	syphilis
GCA_018203695.2	isolation_source	swab
GCA_018203695.2	lat_lon	missing
GCA_018203715.2	strain	Peru213161xe
GCA_018203715.2	collected_by	NA
GCA_018203715.2	collection_date	2018
GCA_018203715.2	geo_loc_name	Peru
GCA_018203715.2	host	Homo sapiens
GCA_018203715.2	host_disease	syphilis
GCA_018203715.2	isolation_source	swab
GCA_018203715.2	lat_lon	missing
GCA_018203735.2	strain	MD57x
GCA_018203735.2	collected_by	NA
GCA_018203735.2	collection_date	2000
GCA_018203735.2	geo_loc_name	USA
GCA_018203735.2	host	Homo sapiens
GCA_018203735.2	host_disease	syphilis
GCA_018203735.2	isolation_source	swab
GCA_018203735.2	lat_lon	missing
GCA_018203755.2	strain	MD530xe
GCA_018203755.2	collected_by	NA
GCA_018203755.2	collection_date	2000
GCA_018203755.2	geo_loc_name	USA
GCA_018203755.2	host	Homo sapiens
GCA_018203755.2	host_disease	syphilis
GCA_018203755.2	isolation_source	swab
GCA_018203755.2	lat_lon	missing
GCA_018203775.2	strain	MD536x
GCA_018203775.2	collected_by	NA
GCA_018203775.2	collection_date	2001
GCA_018203775.2	geo_loc_name	USA
GCA_018203775.2	host	Homo sapiens
GCA_018203775.2	host_disease	syphilis
GCA_018203775.2	isolation_source	swab
GCA_018203775.2	lat_lon	missing
GCA_018203795.2	strain	MD521B
GCA_018203795.2	collected_by	NA
GCA_018203795.2	collection_date	2001
GCA_018203795.2	geo_loc_name	USA
GCA_018203795.2	host	Homo sapiens
GCA_018203795.2	host_disease	syphilis
GCA_018203795.2	isolation_source	swab
GCA_018203795.2	lat_lon	missing
GCA_018203815.2	strain	MD51x
GCA_018203815.2	collected_by	NA
GCA_018203815.2	collection_date	2000
GCA_018203815.2	geo_loc_name	USA
GCA_018203815.2	host	Homo sapiens
GCA_018203815.2	host_disease	syphilis
GCA_018203815.2	isolation_source	swab
GCA_018203815.2	lat_lon	missing
GCA_018203835.2	strain	MD507x
GCA_018203835.2	collected_by	NA
GCA_018203835.2	collection_date	1998
GCA_018203835.2	geo_loc_name	USA
GCA_018203835.2	host	Homo sapiens
GCA_018203835.2	host_disease	syphilis
GCA_018203835.2	isolation_source	swab
GCA_018203835.2	lat_lon	missing
GCA_018203855.2	strain	MD26x
GCA_018203855.2	collected_by	NA
GCA_018203855.2	collection_date	1999
GCA_018203855.2	geo_loc_name	USA
GCA_018203855.2	host	Homo sapiens
GCA_018203855.2	host_disease	syphilis
GCA_018203855.2	isolation_source	swab
GCA_018203855.2	lat_lon	missing
GCA_018203875.2	strain	MD25x
GCA_018203875.2	collected_by	NA
GCA_018203875.2	collection_date	1999
GCA_018203875.2	geo_loc_name	USA
GCA_018203875.2	host	Homo sapiens
GCA_018203875.2	host_disease	syphilis
GCA_018203875.2	isolation_source	swab
GCA_018203875.2	lat_lon	missing
GCA_018203895.2	strain	MD24xe
GCA_018203895.2	collected_by	NA
GCA_018203895.2	collection_date	1999
GCA_018203895.2	geo_loc_name	USA
GCA_018203895.2	host	Homo sapiens
GCA_018203895.2	host_disease	syphilis
GCA_018203895.2	isolation_source	swab
GCA_018203895.2	lat_lon	missing
GCA_018203915.2	strain	MD22xe
GCA_018203915.2	collected_by	NA
GCA_018203915.2	collection_date	1999
GCA_018203915.2	geo_loc_name	USA
GCA_018203915.2	host	Homo sapiens
GCA_018203915.2	host_disease	syphilis
GCA_018203915.2	isolation_source	swab
GCA_018203915.2	lat_lon	missing
GCA_018203935.2	strain	MD20B
GCA_018203935.2	collected_by	NA
GCA_018203935.2	collection_date	1998
GCA_018203935.2	geo_loc_name	USA
GCA_018203935.2	host	Homo sapiens
GCA_018203935.2	host_disease	syphilis
GCA_018203935.2	isolation_source	swab
GCA_018203935.2	lat_lon	missing
GCA_018203955.2	strain	MD18Be
GCA_018203955.2	collected_by	NA
GCA_018203955.2	collection_date	1998
GCA_018203955.2	geo_loc_name	USA
GCA_018203955.2	host	Homo sapiens
GCA_018203955.2	host_disease	syphilis
GCA_018203955.2	isolation_source	swab
GCA_018203955.2	lat_lon	missing
GCA_018203975.2	strain	MD16x
GCA_018203975.2	collected_by	NA
GCA_018203975.2	collection_date	1998
GCA_018203975.2	geo_loc_name	USA
GCA_018203975.2	host	Homo sapiens
GCA_018203975.2	host_disease	syphilis
GCA_018203975.2	isolation_source	swab
GCA_018203975.2	lat_lon	missing
GCA_018203995.2	strain	MD09B
GCA_018203995.2	collected_by	NA
GCA_018203995.2	collection_date	1998
GCA_018203995.2	geo_loc_name	USA
GCA_018203995.2	host	Homo sapiens
GCA_018203995.2	host_disease	syphilis
GCA_018203995.2	isolation_source	swab
GCA_018203995.2	lat_lon	missing
GCA_018204015.2	strain	MD06B
GCA_018204015.2	collected_by	NA
GCA_018204015.2	collection_date	2002
GCA_018204015.2	geo_loc_name	USA
GCA_018204015.2	host	Homo sapiens
GCA_018204015.2	host_disease	syphilis
GCA_018204015.2	isolation_source	swab
GCA_018204015.2	lat_lon	missing
GCA_018204035.2	strain	Japan368i
GCA_018204035.2	collected_by	NA
GCA_018204035.2	collection_date	2020
GCA_018204035.2	geo_loc_name	Japan
GCA_018204035.2	host	Homo sapiens
GCA_018204035.2	host_disease	syphilis
GCA_018204035.2	isolation_source	swab
GCA_018204035.2	lat_lon	missing
GCA_018204055.2	strain	Japan365x
GCA_018204055.2	collected_by	NA
GCA_018204055.2	collection_date	2020
GCA_018204055.2	geo_loc_name	Japan
GCA_018204055.2	host	Homo sapiens
GCA_018204055.2	host_disease	syphilis
GCA_018204055.2	isolation_source	swab
GCA_018204055.2	lat_lon	missing
GCA_018204075.2	strain	Japan362x
GCA_018204075.2	collected_by	NA
GCA_018204075.2	collection_date	2020
GCA_018204075.2	geo_loc_name	Japan
GCA_018204075.2	host	Homo sapiens
GCA_018204075.2	host_disease	syphilis
GCA_018204075.2	isolation_source	swab
GCA_018204075.2	lat_lon	missing
GCA_018204095.2	strain	Japan364
GCA_018204095.2	collected_by	NA
GCA_018204095.2	collection_date	2020
GCA_018204095.2	geo_loc_name	Japan
GCA_018204095.2	host	Homo sapiens
GCA_018204095.2	host_disease	syphilis
GCA_018204095.2	isolation_source	swab
GCA_018204095.2	lat_lon	missing
GCA_018204115.2	strain	Japan354x
GCA_018204115.2	collected_by	NA
GCA_018204115.2	collection_date	2019
GCA_018204115.2	geo_loc_name	Japan
GCA_018204115.2	host	Homo sapiens
GCA_018204115.2	host_disease	syphilis
GCA_018204115.2	isolation_source	swab
GCA_018204115.2	lat_lon	missing
GCA_018204135.2	strain	Japan355
GCA_018204135.2	collected_by	NA
GCA_018204135.2	collection_date	2019
GCA_018204135.2	geo_loc_name	Japan
GCA_018204135.2	host	Homo sapiens
GCA_018204135.2	host_disease	syphilis
GCA_018204135.2	isolation_source	swab
GCA_018204135.2	lat_lon	missing
GCA_018204155.2	strain	Japan352xe
GCA_018204155.2	collected_by	NA
GCA_018204155.2	collection_date	2019
GCA_018204155.2	geo_loc_name	Japan
GCA_018204155.2	host	Homo sapiens
GCA_018204155.2	host_disease	syphilis
GCA_018204155.2	isolation_source	swab
GCA_018204155.2	lat_lon	missing
GCA_018204175.2	strain	Japan351
GCA_018204175.2	collected_by	NA
GCA_018204175.2	collection_date	2019
GCA_018204175.2	geo_loc_name	Japan
GCA_018204175.2	host	Homo sapiens
GCA_018204175.2	host_disease	syphilis
GCA_018204175.2	isolation_source	swab
GCA_018204175.2	lat_lon	missing
GCA_018204195.2	strain	Japan349
GCA_018204195.2	collected_by	NA
GCA_018204195.2	collection_date	2019
GCA_018204195.2	geo_loc_name	Japan
GCA_018204195.2	host	Homo sapiens
GCA_018204195.2	host_disease	syphilis
GCA_018204195.2	isolation_source	swab
GCA_018204195.2	lat_lon	missing
GCA_018204215.1	strain	Japan346e
GCA_018204215.1	collected_by	NA
GCA_018204215.1	collection_date	2019
GCA_018204215.1	geo_loc_name	Japan
GCA_018204215.1	host	Homo sapiens
GCA_018204215.1	host_disease	syphilis
GCA_018204215.1	isolation_source	swab
GCA_018204215.1	lat_lon	missing
GCA_018204235.2	strain	Japan348
GCA_018204235.2	collected_by	NA
GCA_018204235.2	collection_date	2019
GCA_018204235.2	geo_loc_name	Japan
GCA_018204235.2	host	Homo sapiens
GCA_018204235.2	host_disease	syphilis
GCA_018204235.2	isolation_source	swab
GCA_018204235.2	lat_lon	missing
GCA_018204255.2	strain	Japan344e
GCA_018204255.2	collected_by	NA
GCA_018204255.2	collection_date	2019
GCA_018204255.2	geo_loc_name	Japan
GCA_018204255.2	host	Homo sapiens
GCA_018204255.2	host_disease	syphilis
GCA_018204255.2	isolation_source	swab
GCA_018204255.2	lat_lon	missing
GCA_018204275.2	strain	Japan337
GCA_018204275.2	collected_by	NA
GCA_018204275.2	collection_date	2019
GCA_018204275.2	geo_loc_name	Japan
GCA_018204275.2	host	Homo sapiens
GCA_018204275.2	host_disease	syphilis
GCA_018204275.2	isolation_source	swab
GCA_018204275.2	lat_lon	missing
GCA_018204295.2	strain	Japan343
GCA_018204295.2	collected_by	NA
GCA_018204295.2	collection_date	2019
GCA_018204295.2	geo_loc_name	Japan
GCA_018204295.2	host	Homo sapiens
GCA_018204295.2	host_disease	syphilis
GCA_018204295.2	isolation_source	swab
GCA_018204295.2	lat_lon	missing
GCA_018204315.2	strain	Japan345
GCA_018204315.2	collected_by	NA
GCA_018204315.2	collection_date	2019
GCA_018204315.2	geo_loc_name	Japan
GCA_018204315.2	host	Homo sapiens
GCA_018204315.2	host_disease	syphilis
GCA_018204315.2	isolation_source	swab
GCA_018204315.2	lat_lon	missing
GCA_018204335.2	strain	Japan342e
GCA_018204335.2	collected_by	NA
GCA_018204335.2	collection_date	2019
GCA_018204335.2	geo_loc_name	Japan
GCA_018204335.2	host	Homo sapiens
GCA_018204335.2	host_disease	syphilis
GCA_018204335.2	isolation_source	swab
GCA_018204335.2	lat_lon	missing
GCA_018204355.2	strain	Japan338xei
GCA_018204355.2	collected_by	NA
GCA_018204355.2	collection_date	2019
GCA_018204355.2	geo_loc_name	Japan
GCA_018204355.2	host	Homo sapiens
GCA_018204355.2	host_disease	syphilis
GCA_018204355.2	isolation_source	swab
GCA_018204355.2	lat_lon	missing
GCA_018204375.2	strain	Japan339
GCA_018204375.2	collected_by	NA
GCA_018204375.2	collection_date	2019
GCA_018204375.2	geo_loc_name	Japan
GCA_018204375.2	host	Homo sapiens
GCA_018204375.2	host_disease	syphilis
GCA_018204375.2	isolation_source	swab
GCA_018204375.2	lat_lon	missing
GCA_018204395.2	strain	Japan332
GCA_018204395.2	collected_by	NA
GCA_018204395.2	collection_date	2019
GCA_018204395.2	geo_loc_name	Japan
GCA_018204395.2	host	Homo sapiens
GCA_018204395.2	host_disease	syphilis
GCA_018204395.2	isolation_source	swab
GCA_018204395.2	lat_lon	missing
GCA_018204415.2	strain	Japan329
GCA_018204415.2	collected_by	NA
GCA_018204415.2	collection_date	2019
GCA_018204415.2	geo_loc_name	Japan
GCA_018204415.2	host	Homo sapiens
GCA_018204415.2	host_disease	syphilis
GCA_018204415.2	isolation_source	swab
GCA_018204415.2	lat_lon	missing
GCA_018204495.2	strain	Japan331
GCA_018204495.2	collected_by	NA
GCA_018204495.2	collection_date	2019
GCA_018204495.2	geo_loc_name	Japan
GCA_018204495.2	host	Homo sapiens
GCA_018204495.2	host_disease	syphilis
GCA_018204495.2	isolation_source	swab
GCA_018204495.2	lat_lon	missing
GCA_018204595.2	strain	Japan328x
GCA_018204595.2	collected_by	NA
GCA_018204595.2	collection_date	2019
GCA_018204595.2	geo_loc_name	Japan
GCA_018204595.2	host	Homo sapiens
GCA_018204595.2	host_disease	syphilis
GCA_018204595.2	isolation_source	swab
GCA_018204595.2	lat_lon	missing
GCA_018204755.3	strain	Japan325xe
GCA_018204755.3	collected_by	NA
GCA_018204755.3	collection_date	2019
GCA_018204755.3	geo_loc_name	Japan
GCA_018204755.3	host	Homo sapiens
GCA_018204755.3	host_disease	syphilis
GCA_018204755.3	isolation_source	swab
GCA_018204755.3	lat_lon	missing
GCA_018204835.1	strain	Japan326e
GCA_018204835.1	collected_by	NA
GCA_018204835.1	collection_date	2019
GCA_018204835.1	geo_loc_name	Japan
GCA_018204835.1	host	Homo sapiens
GCA_018204835.1	host_disease	syphilis
GCA_018204835.1	isolation_source	swab
GCA_018204835.1	lat_lon	missing
GCA_018204935.2	strain	Japan324x
GCA_018204935.2	collected_by	NA
GCA_018204935.2	collection_date	2019
GCA_018204935.2	geo_loc_name	Japan
GCA_018204935.2	host	Homo sapiens
GCA_018204935.2	host_disease	syphilis
GCA_018204935.2	isolation_source	swab
GCA_018204935.2	lat_lon	missing
GCA_018204975.2	strain	Japan323x
GCA_018204975.2	collected_by	NA
GCA_018204975.2	collection_date	2019
GCA_018204975.2	geo_loc_name	Japan
GCA_018204975.2	host	Homo sapiens
GCA_018204975.2	host_disease	syphilis
GCA_018204975.2	isolation_source	swab
GCA_018204975.2	lat_lon	missing
GCA_018205095.1	strain	Japan322e
GCA_018205095.1	collected_by	NA
GCA_018205095.1	collection_date	2019
GCA_018205095.1	geo_loc_name	Japan
GCA_018205095.1	host	Homo sapiens
GCA_018205095.1	host_disease	syphilis
GCA_018205095.1	isolation_source	swab
GCA_018205095.1	lat_lon	missing
GCA_018205175.1	strain	Japan320e
GCA_018205175.1	collected_by	NA
GCA_018205175.1	collection_date	2019
GCA_018205175.1	geo_loc_name	Japan
GCA_018205175.1	host	Homo sapiens
GCA_018205175.1	host_disease	syphilis
GCA_018205175.1	isolation_source	swab
GCA_018205175.1	lat_lon	missing
GCA_018205215.2	strain	Japan314
GCA_018205215.2	collected_by	NA
GCA_018205215.2	collection_date	2019
GCA_018205215.2	geo_loc_name	Japan
GCA_018205215.2	host	Homo sapiens
GCA_018205215.2	host_disease	syphilis
GCA_018205215.2	isolation_source	swab
GCA_018205215.2	lat_lon	missing
GCA_018205235.2	strain	Japan312xe
GCA_018205235.2	collected_by	NA
GCA_018205235.2	collection_date	2019
GCA_018205235.2	geo_loc_name	Japan
GCA_018205235.2	host	Homo sapiens
GCA_018205235.2	host_disease	syphilis
GCA_018205235.2	isolation_source	swab
GCA_018205235.2	lat_lon	missing
GCA_018205255.2	strain	Japan313x
GCA_018205255.2	collected_by	NA
GCA_018205255.2	collection_date	2019
GCA_018205255.2	geo_loc_name	Japan
GCA_018205255.2	host	Homo sapiens
GCA_018205255.2	host_disease	syphilis
GCA_018205255.2	isolation_source	swab
GCA_018205255.2	lat_lon	missing
GCA_018205275.2	strain	Japan309x
GCA_018205275.2	collected_by	NA
GCA_018205275.2	collection_date	2019
